,Title,Artist,Year,Rank
291,Downtown,Lady Antebellum,2013,93
292,Get Your Shine On,Florida Georgia Line,2013,94
293,#thatPOWER,will.i.am Featuring Justin Bieber,2013,95
294,Brave,Sara Bareilles,2013,96
295,Let Her Go,Passenger,2013,97
296,Runnin' Outta Moonlight,Randy Houser,2013,98
297,I'm Different,2 Chainz,2013,99
298,Still Into You,Paramore,2013,100
299,Happy,Pharrell Williams,2014,1
300,Dark Horse,Katy Perry Featuring Juicy J,2014,2
301,All Of Me,John Legend,2014,3
302,Fancy,Iggy Azalea Featuring Charli XCX,2014,4
303,Counting Stars,OneRepublic,2014,5
304,Talk Dirty,Jason Derulo Featuring 2 Chainz,2014,6
305,Rude,MAGIC!,2014,7
306,All About That Bass,Meghan Trainor,2014,8
307,Problem,Ariana Grande Featuring Iggy Azalea,2014,9
308,Stay With Me,Sam Smith,2014,10
309,Timber,Pitbull Featuring Ke$ha,2014,11
310,Pompeii,Bastille,2014,12
311,Shake It Off,Taylor Swift,2014,13
312,Am I Wrong,Nico & Vinz,2014,14
313,Turn Down For What,DJ Snake & Lil Jon,2014,15
314,The Monster,Eminem Featuring Rihanna,2014,16
315,Say Something,A Great Big World & Christina Aguilera,2014,17
316,Team,Lorde,2014,18
317,Let Her Go,Passenger,2014,19
318,Royals,Lorde,2014,20
319,Let It Go,Idina Menzel,2014,21
320,Wake Me Up!,Avicii,2014,22
321, Demons,Imagine Dragons,2014,23
322,Story Of My Life,One Direction,2014,24
323,Chandelier,Sia,2014,25
324,Black Widow,Iggy Azalea Featuring Rita Ora,2014,26
325,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014,27
326,Latch,Disclosure Featuring Sam Smith,2014,28
327,Maps,Maroon 5,2014,29
328,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014,30
329, Best Day Of My Life,American Authors,2014,31
330,Habits (Stay High),Tove Lo,2014,32
331,Summer,Calvin Harris,2014,33
332,Boom Clap,Charli XCX,2014,34
333,Drunk In Love,Beyonce Featuring Jay Z,2014,35
334,Anaconda,Nicki Minaj,2014,36
335,Break Free,Ariana Grande Featuring Zedd,2014,37
336,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014,38
337,Burn,Ellie Goulding,2014,39
338,Wiggle,Jason Derulo Featuring Snoop Dogg,2014,40
339,Rather Be,Clean Bandit Featuring Jess Glynne,2014,41
340,Don't Tell 'Em,Jeremih Featuring YG,2014,42
341,Show Me,Kid Ink Featuring Chris Brown,2014,43
342,Wrecking Ball,Miley Cyrus,2014,44
343,Not A Bad Thing,Justin Timberlake,2014,45
344,Roar,Katy Perry,2014,46
345,Ain't It Fun,Paramore,2014,47
346,The Man,Aloe Blacc,2014,48
347,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,2014,49
348,Classic,MKTO,2014,50
349,A Sky Full Of Stars,Coldplay,2014,51
350,Don't,Ed Sheeran,2014,52
351,Na Na,Trey Songz,2014,53
352,Hot Boy,Bobby Shmurda,2014,54
353,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014,55
354,Sing,Ed Sheeran,2014,56
355,Radioactive,Imagine Dragons,2014,57
356,My Hitta,YG Featuring Jeezy & Rich Homie Quan,2014,58
357,Cool Kids,Echosmith,2014,59
358,Hey Brother,Avicii,2014,60
359,Trumpets,Jason Derulo,2014,61
360,Animals,Maroon 5,2014,62
361,Burnin' It Down,Jason Aldean,2014,63
362,Play It Again,Luke Bryan,2014,64
363,2 On,Tinashe Featuring ScHoolboy Q,2014,65
364,Dirt,Florida Georgia Line,2014,66
365,Love Runs Out,OneRepublic,2014,67
366,Bottoms Up,Brantley Gilbert,2014,68
367,Shower,Becky G,2014,69
368,Me And My Broken Heart,Rixton,2014,70
369,Animals,Martin Garrix,2014,71
370,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014,72
371,American Kids,Kenny Chesney,2014,73
372, Brave,Sara Bareilles,2014,74
373,Sweater Weather,The Neighbourhood,2014,75
374,Leave The Night On,Sam Hunt,2014,76
375,New Flame,Chris Brown Featuring Usher & Rick Ross,2014,77
376,Love Never Felt So Good,Michael Jackson & Justin Timberlake,2014,78
377,Drunk On A Plane,Dierks Bentley,2014,79
378,Birthday,Katy Perry,2014,80
379,Bartender,Lady Antebellum,2014,81
380,La La La,Naughty Boy Featuring Sam Smith,2014,82
381,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014,83
382,Do What U Want,Lady Gaga Featuring R. Kelly,2014,84
383,Can't Remember To Forget You,Shakira Featuring Rihanna,2014,85
384,Amnesia,5 Seconds Of Summer,2014,86
385,No Mediocre,T.I. Featuring Iggy Azalea,2014,87
386,Come With Me Now,KONGOS,2014,88
387,Believe Me,Lil Wayne Featuring Drake,2014,89
388,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2014,90
389,Beachin',Jake Owen,2014,91
390,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,2014,92
391,She Looks So Perfect,5 Seconds Of Summer,2014,93
392,Stay The Night,Zedd Featuring Hayley Williams,2014,94
393,Partition,Beyonce,2014,95
394,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2014,96
395,0 To 100 / The Catch Up,Drake,2014,97
396,I Don't Dance,Lee Brice,2014,98
397,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,2014,99
398,Adore You,Miley Cyrus,2014,100
399,Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015,1
400,Thinking Out Loud,Ed Sheeran,2015,2
401,See You Again,Wiz Khalifa Featuring Charlie Puth,2015,3
402,Trap Queen,Fetty Wap,2015,4
403,Sugar,Maroon 5,2015,5
404,Shut Up And Dance,WALK THE MOON,2015,6
405,Blank Space,Taylor Swift,2015,7
406,Watch Me,Silento,2015,8
407,Earned It (Fifty Shades Of Grey),The Weeknd,2015,9
408,The Hills,The Weeknd,2015,10
409,Cheerleader,OMI,2015,11
410,Can't Feel My Face,The Weeknd,2015,12
411,Love Me Like You Do,Ellie Goulding,2015,13
412,Take Me To Church,Hozier,2015,14
413,Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,15
414,Lean On,Major Lazer & DJ Snake Featuring MO,2015,16
415, Want To Want Me,Jason Derulo,2015,17
416,Shake It Off,Taylor Swift,2015,18
417,Where Are U Now,Skrillex & Diplo With Justin Bieber,2015,19
